"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","24-Sep-2020","       1047.25","       1038.00","       1047.00","       1025.00","       1030.50","       1030.40","       1035.26","    9904895","         10254115892.95","     198189","    4695108","         47.40"
"HDFCBANK","EQ","25-Sep-2020","       1030.40","       1050.00","       1051.95","       1025.65","       1042.55","       1044.00","       1038.13","   10160775","         10548254280.00","     162790","    4128006","         40.63"
"HDFCBANK","EQ","28-Sep-2020","       1044.00","       1048.95","       1059.00","       1042.65","       1058.00","       1054.20","       1053.08","    8076211","          8504877498.60","     133937","    3908991","         48.40"
"HDFCBANK","EQ","29-Sep-2020","       1054.20","       1058.00","       1069.90","       1051.00","       1064.40","       1062.55","       1059.74","    6322274","          6699937414.90","     106799","    1803588","         28.53"
"HDFCBANK","EQ","30-Sep-2020","       1062.55","       1060.00","       1086.90","       1052.00","       1078.00","       1078.60","       1070.11","    9407038","         10066598890.80","     226805","    4038213","         42.93"
"HDFCBANK","EQ","01-Oct-2020","       1078.60","       1090.10","       1110.00","       1090.10","       1108.00","       1106.95","       1099.60","   10601566","         11657442720.45","     173095","    3061601","         28.88"
"HDFCBANK","EQ","05-Oct-2020","       1106.95","       1112.00","       1132.00","       1111.00","       1112.50","       1114.35","       1121.66","    8470109","          9500543768.35","     160877","    3030427","         35.78"
"HDFCBANK","EQ","06-Oct-2020","       1114.35","       1135.05","       1148.00","       1126.20","       1143.15","       1144.10","       1137.63","    9685997","         11019111125.30","     214476","    2624119","         27.09"
"HDFCBANK","EQ","07-Oct-2020","       1144.10","       1144.90","       1164.85","       1137.60","       1160.50","       1162.25","       1154.88","   10624527","         12270100197.00","     210164","    3580273","         33.70"
"HDFCBANK","EQ","08-Oct-2020","       1162.25","       1180.00","       1203.00","       1163.35","       1189.90","       1191.80","       1187.94","   17530368","         20825050397.45","     242763","    9001403","         51.35"
"HDFCBANK","EQ","09-Oct-2020","       1191.80","       1201.00","       1237.00","       1191.65","       1235.20","       1233.55","       1218.62","   22486215","         27402147398.55","     338324","    8314015","         36.97"
"HDFCBANK","EQ","12-Oct-2020","       1233.55","       1231.55","       1242.75","       1205.60","       1214.50","       1213.65","       1220.43","    9610277","         11728711136.65","     192519","    2412953","         25.11"
"HDFCBANK","EQ","13-Oct-2020","       1213.65","       1213.40","       1222.45","       1195.00","       1195.25","       1198.45","       1206.34","    9177015","         11070573513.50","     183515","    3940507","         42.94"
"HDFCBANK","EQ","14-Oct-2020","       1198.45","       1195.55","       1214.30","       1175.50","       1213.50","       1211.50","       1190.04","   11291473","         13437251785.95","     220645","    4716259","         41.77"
"HDFCBANK","EQ","15-Oct-2020","       1211.50","       1214.20","       1217.00","       1164.00","       1168.60","       1169.25","       1195.09","   14123569","         16878959918.70","     238649","    6426038","         45.50"
"HDFCBANK","EQ","16-Oct-2020","       1169.25","       1180.00","       1203.50","       1173.00","       1203.35","       1199.35","       1189.99","   12911559","         15364649993.60","     232163","    5757664","         44.59"
